nen3610id,code,syntax_aantaldoorstroomopeningen,syntax_afslagpeil,syntax_afvoercoefficient,syntax_breedteopening,syntax_categorie,syntax_code,syntax_created_date,syntax_detailniveaugeometrie,syntax_drempelpeil,syntax_featuretype,syntax_filteruitstroming,syntax_functiegemaal,syntax_globalid,syntax_hyperlink,syntax_indicatiewaterkerend,syntax_kerendehoogte,syntax_last_edited_date,syntax_lvpublicatiedatum,syntax_maximalecapaciteit,syntax_metadataid,syntax_naam,syntax_namespace,syntax_nen3610id,syntax_objectid,syntax_ontwerpbuitenwaterstand,syntax_openingspeil,syntax_openkeerpeil,syntax_opmerking,syntax_richting,syntax_signaleringspeil,syntax_sluitpeil,syntax_statusleggerwatersysteem,syntax_statusleggerwaterveiligheid,syntax_statusobject,syntax_typewaterkerendeconstructie,syntax_waterkeringid,syntax_geometry,syntax_oordeel,general_000_pomp_aantal_pompen,general_001_pomp_capaciteit,validate_000_aantal_pompen_gt_0,validate_001_capaciteit_gt_0,validate_002_geen_overlap,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.12.GEMAAL.KGM-N-2500,KGM-N-2500,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29349,KGM-Q-29349,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-JH-2005,KGM-JH-2005,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-JH-5083,KGM-JH-5083,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29347,KGM-Q-29347,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-E-436,KGM-E-436,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-E-434,KGM-E-434,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29317,KGM-Q-29317,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,nee -> NULL (fouten: 6),nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29313,KGM-Q-29313,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.GEMAAL.KGM-Q-29312,KGM-Q-29312,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,onderbemaling -> NULL (fouten: 6),,,,nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,,,False,0.0,0.0,False,False,True,1,2,0;1,0;1,,,aantal pompen = 0;capaciteit = 0,,,2025-06-06T08:52:12.186353
