nen3610id,code,syntax_code,syntax_created_date,syntax_featuretype,syntax_gemaalid,syntax_globalid,syntax_last_edited_date,syntax_maximalecapaciteit,syntax_minimalecapaciteit,syntax_nen3610id,syntax_objectid,syntax_opstellingpomp,syntax_pompcurve,syntax_pomprichting,syntax_rioolgemaalid,syntax_soortaandrijving,syntax_typepomp,syntax_typepompschakeling,syntax_oordeel,validate_000_capaciteit_gt_0,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.12.POMP.KGM0044-186/01-1434/01,KGM0044-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0022-186/01-1434/01,KGM0022-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM7022-186/01-1434/01,KGM7022-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0037-186/01-1434/01,KGM0037-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0944-186/01-1434/01,KGM0944-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0199-186/01-1434/01,KGM0199-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0020-186/01-1434/01,KGM0020-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0047-186/01-1434/01,KGM0047-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0050-186/01-1434/01,KGM0050-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.POMP.KGM0009-186/01-1434/01,KGM0009-186/01-1434/01,,,,,(fouten: 4),,nan -> NULL (fouten: 4),nan -> NULL (fouten: 1),,(fouten: 2),,,None -> NULL (fouten: 4),,,,,False,,10,,,,,0,,,,2025-06-06T08:52:12.186353
