OBJECTID,CODE,NAAM,CODEBEHEEROBJECT,BOUWJAAR,FABRIKANT,TYPE,MAXIMALECAPACITEIT,VERMOGENKW,I_NOMINAAL,TOERENTAL,OPVOERHOOGTE,WAAIER,GEWICHT,OPSTELLING,DIAMETER,OBSGEMUTEERDDOOR,OBSMUTATIEDATUM,MUID,CSO_LAADDATUM
3263,KGM0727-230/02-1601/01,"Vijzel 2, Groot-Limmerpolder Noord",KGM-Q-29193,1989.0,,Vijzel,,,,,,,,,,ADMINJJANSEN,2024-03-08 11:04:55,6F75F02D-572B-47EC-979E-FF27EEB22BEA,2024-06-04 03:52:50
2317,BWYK14-PI-186-1434,"Pomp 1, Marken-Binnen",ZRG-L-0465,2012.0,ABS SULZER,XFP100E-CB1.2-PE90/4-E-50EX,120.0,9.9,18.1,1466.0,14.0,,,Nat,,ADMINJJANSEN,2024-03-08 11:05:07,54713D5D-3183-407C-817B-364AC60DDE7D,2024-06-04 03:52:50
2063,GEES15-PI-186-1434,"Pomp 1, Warmenhuizen",ZRG-L-0497,1998.0,GEHO,RPS 200-400,,45.0,84.0,980.0,,,,Droog,,ADMINJJANSEN,2024-03-08 11:05:15,9C726F4A-B759-4757-9A0B-4827F8CD2E49,2024-06-04 03:52:50
2862,GEES11-PI-186-1434,"Pomp 1, Schoorl",ZRG-IB-0013,2009.0,ABS,AFP(k) 2045.1-ME220/4,640.0,22.0,48.0,1450.0,25.0,285.0,,NAT,,ADMINJJANSEN,2024-03-08 11:05:15,861E1FB2-9190-4EAA-AAF1-CDE54C46BA0B,2024-06-04 03:52:50
2646,URSM20-PI-186-1434,"Pomp 1, Ursemmerplas",ZRG-IB-2026,,HIDROSTAL,,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:06:11,CBD888C5-8199-464C-9A43-7D88532E5F80,2024-11-06 00:40:14
3867,OOST2-PI-186-1435,"Pomp 2, Oosthuizen",ZRG-L-0516,2022.0,FLYGT XYLEM,NP3102.060,62.0,3.1,6.8,1450.0,3.5,462.0,107.0,Nat,,MVANOCKENBURG,2024-11-05 16:53:35,5C3FF809-D908-42FB-A3B8-1B7C5DD44264,2024-11-06 00:40:14
2612,URSM14-PI-186-1434,"Pomp 1, Kathoek",ZRG-O-0032,2009.0,ABS,AFP(k) 1045.1ME 185/4,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:02:24,BE63AA66-65A6-4CC7-887A-699B9696B7C3,2024-11-06 00:40:14
2107,GEES84-PI-186-1435,"Pomp 2, De Nollen",ZRG-O-0009,2006.0,FLYGT XYLEM,NP3102.181 MT,180.0,3.1,6.6,1445.0,14.0,192.0,,NAT,,ADMINJJANSEN,2024-03-08 11:05:12,12A607BB-F7EC-4CA7-A546-C41B1D77F70E,2024-06-04 03:52:50
2634,URSM5-PI-186-1434,"Pomp 1, Obdam vrijverval",ZRG-L-0539,2023.0,ABS,XFP-105G-CB2-PE300-4G,,30.0,585.0,1475.0,,320.0,450.0,Nat,320.0,MVANOCKENBURG,2024-11-05 17:08:35,0E691CFE-3628-4E48-B0B5-F1CA387BA48A,2024-11-06 00:40:14
2017,URSM19-PI-186-1435,"Pomp 2, Meerweijde",ZRG-O-0038,,,,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:04:57,6354F5A1-80F5-4977-9031-FA8FF36E61A8,2024-11-06 00:40:14
2067,URSM18-PI-186-1435,"Pomp 2, Koningsspil",ZRG-O-0034,,,,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:04:26,67E5AB6D-C77E-4699-BF06-7260F9ECD534,2024-11-06 00:40:14
3868,OOST1-PI-186-1434,"Pomp 1, Beets",ZRG-L-0515,2022.0,ABS SULZER,XFP81E-VX.5-PE70/2E-EX,85.6,7.7,135.0,2932.0,21.0,141.0,140.0,Nat,,MVANOCKENBURG,2024-11-05 16:53:08,39769046-018A-436D-A98D-A45B0DA519BC,2024-11-06 00:40:14
2390,URSM5-PI-186-1435,"Pomp 2, Obdam vrijverval",ZRG-L-0539,2023.0,ABS SULZER,XFP-105G-CB2-PE300/4,,30.0,585.0,1475.0,,320.0,450.0,Nat,320.0,MVANOCKENBURG,2024-11-05 17:08:35,B75C1CE9-B19F-44EB-8707-52AB02D910A7,2024-11-06 00:40:14
2851,URSM4-PI-186-1435,"Pomp 2, Hoogwoud",ZRG-L-0270,2017.0,FLYGT,NP3202.180HT,,30.0,,,,326.0,,Nat,,MVANOCKENBURG,2024-11-05 17:08:05,222833B7-036B-455D-8C78-B5F1C2BA8646,2024-11-06 00:40:14
2766,URSM19-PI-186-1434,"Pomp 1, Meerweijde",ZRG-O-0038,2011.0,FLYGHT,NP 3153.181 SH,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:04:57,24FD2AB8-FF20-4620-B65A-4D9CFF633155,2024-11-06 00:40:14
2485,WERV59-PI-186-1434,"Pomp 1, De Opgang",ZRG-IB-22325,2019.0,LANDUSTRIE,DWP62-30JG,95.0,29.0,51.1,2920.0,,,285.0,Nat,,R5,2022-04-08 14:02:06,15AC67AD-EA2A-4A3A-B56A-7F014C52C4B6,2024-06-04 03:52:50
2787,STOL16-PI-186-1434,"Pomp 1, Callantsoog",ZRG-L-0525,2011.0,HIDROSTAL,FO6K-H03R,250.0,30.0,56.0,1465.0,18.2,,,DROOG,150.0,ADMINJJANSEN,2024-03-08 11:05:05,862C0674-B96D-4BED-8E81-59BBF6FBEB97,2024-06-04 03:52:50
2300,URSM3-PI-186-1435,"Pomp 2, Hensbroek",ZRG-L-0538,,,,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:07:37,213B6810-633C-46CC-A483-E077F6EE57DB,2024-11-06 00:40:14
2245,URSM10-PI-186-1435,"Pomp 2, Stompetoren",ZRG-L-0341,2016.0,ABS SULZER,XFP 105J CB2 PE370-4,115.0,37.0,,1473.0,43.6,365.0,,nat,,MVANOCKENBURG,2024-11-05 17:00:17,5AEA2458-E60A-42C5-AACF-4C18D18D7F72,2024-11-06 00:40:14
2534,URSM16-PI-186-1435,"Pomp 2, Wieder",ZRG-O-0055,,,,,,,,,,,,,MVANOCKENBURG,2024-11-05 17:03:28,B095C3EF-1F54-4D6E-A128-3CC1D422E6C3,2024-11-06 00:40:14
