,bron,laag,id,type_functie,naam,beschrijving
0,hhnk,profiellijn,100,general rules,isascending,verifieert of de profielpunten in oplopende volgorde zijn
1,hhnk,profiellijn,101,general rules,hydroobject_breedte,voegt de breedte van het hydroobject toe aan de profiellijn
2,hhnk,profiellijn,102,general rules,jaarinwinning,berekent de jaar van inwinning van de profiellijn
3,hhnk,profiellijn,103,general rules,max_cross_product,berekent de maximale schuinheid van de profiellijn (afwijking per profielsegment van de rechte lijn tussen de uiterste punten van de profiellijn)
4,hhnk,profiellijn,104,general rules,afstandnatprofiel,berekent de afstand van het natte profiel op de profiellijn
5,hhnk,profiellijn,105,general rules,dieptenatprofiel,berekent de diepte van het natte profiel op de profiellijn
6,hhnk,profiellijn,106,general rules,nr_of_profielpunten,berekent het aantal profielpunten op de profiellijn
7,hhnk,profiellijn,107,general rules,verschil_afstandnatprofiel_breedte,berekent het verschil tussen de breedte van het hydroobject en de breedte van het natte profiel
8,hhnk,profiellijn,108,general rules,maximalehoogteprofiel,berekent de maximale hoogte van het profiel op basis van de profielpunten
9,hhnk,profiellijn,109,general rules,breedteprofiel,berekent de breedte van het profiel op basis van de profielpunten
10,hwh,profiellijn,0,general rules,bodemhoogte,
11,hwh,profiellijn,1,general rules,bodemhoogte_marge_min,
12,hwh,duikersifonhevel,1,general rules,delta_h,
13,hwh,duikersifonhevel,2,general rules,verval,
14,hwh,duikersifonhevel,3,general rules,slope,
15,hwh,regelmiddel,0,general rules,kunstwerkopening_hoogstedoorstroomhoogte,
16,hwh,regelmiddel,1,general rules,kunstwerkopening_laagstedoorstroomhoogte,
17,hwh,regelmiddel,2,general rules,kunstwerkopening_hoogte_m,
18,hwh,kunstwerkopening,0,general rules,regelmiddel_minimalehoogtebovenkant,
19,hwh,kunstwerkopening,1,general rules,regelmiddel_soortregelmiddel,
20,hwh,kunstwerkopening,2,general rules,regelmiddel_maximalehoogtebovenkant,
21,hwh,kunstwerkopening,3,general rules,regelmiddel_aantal_regelmiddelen,
22,hwh,stuw,0,general rules,buffer_radius,
23,hwh,stuw,2,general rules,kunstwerkopening_hoogstedoorstroombreedte,
24,hwh,stuw,3,general rules,kunstwerkopening_hoogstedoorstroomhoogte,
25,hwh,stuw,4,general rules,kunstwerkopening_regelmiddel_soortregelmiddel,
26,hwh,stuw,5,general rules,kunstwerkopening_laagstedoorstroomhoogte,
27,hwh,stuw,6,general rules,kunstwerkopening_regelmiddel_aantal_regelmiddelen,
28,hwh,brug,1,general rules,doorstroomopening_laagstedoorstroomhoogte,
29,hwh,brug,2,general rules,doorstroomopening_breedteopening,
30,hwh,gemaal,0,general rules,pomp_aantal_pompen,Berekent het aantal pompen dat aan het gemaal is gekoppeld
31,hwh,gemaal,1,general rules,pomp_capaciteit,Som van de maximale capaciteit van alle gekoppelde pompen
32,hwh,sturing,0,general rules,pomp_pompcapaciteit_m3min,
33,hwh,sturing,1,general rules,pomp_pompcapaciteit_m3s,
34,hwh,sturing,2,general rules,hoogteopening,
35,hwh,sturing,3,general rules,minimalehoogtebovenkant,
36,hwh,sturing,4,general rules,maximalehoogtebovenkant,
