soil type;rootzone thickness (cm);groundwater level (meter below surface);root zone soil moisture storage in equilibrium conditions (mm);potential capillary rise (mm/day);storage coefficient (m/m)
1;10;0;61.6;5;0.01
1;10;0.1;61;5;0.01
1;10;0.2;59.8;5;0.018
1;10;0.3;58.7;5;0.029
1;10;0.4;57.7;3.546;0.038
1;10;0.5;56.7;2.392;0.049
1;10;0.6;55.9;1.78;0.062
1;10;0.7;55.1;1.397;0.07
1;10;0.8;54.4;1.134;0.081
1;10;0.9;53.8;0.942;0.091
1;10;1;53.2;0.797;0.101
1;10;1.1;52.6;0.684;0.11
1;10;1.2;52.1;0.595;0.119
1;10;1.3;51.6;0.521;0.126
1;10;1.4;51.2;0.461;0.135
1;10;1.5;50.8;0.41;0.142
1;10;1.6;50.4;0.367;0.149
1;10;1.7;50;0.33;0.156
1;10;1.8;49.6;0.298;0.162
1;10;1.9;49.3;0.271;0.168
1;10;2;49;0.246;0.174
1;10;2.1;48.7;0.225;0.18
1;10;2.2;48.4;0.206;0.185
1;10;2.3;48.1;0.19;0.19
1;10;2.4;47.8;0.175;0.195
1;10;2.5;47.6;0.162;0.199
1;10;3;46.4;0.112;0.22
1;10;4;44.6;0.06;0.251
1;10;5;43.2;0.035;0.275
1;10;10;39.1;0.002;0.341
1;20;0;123.2;5;0.01
1;20;0.1;122.6;5;0.01
1;20;0.2;120.8;5;0.01
1;20;0.3;118.5;5;0.018
1;20;0.4;116.4;5;0.028
1;20;0.5;114.4;3.916;0.039
1;20;0.6;112.6;2.749;0.052
1;20;0.7;111;2.074;0.063
1;20;0.8;109.5;1.634;0.074
1;20;0.9;108.2;1.326;0.085
1;20;1;106.9;1.1;0.095
1;20;1.1;105.8;0.928;0.104
1;20;1.2;104.7;0.794;0.114
1;20;1.3;103.7;0.686;0.121
1;20;1.4;102.8;0.599;0.13
1;20;1.5;101.9;0.527;0.138
1;20;1.6;101.1;0.467;0.145
1;20;1.7;100.3;0.416;0.152
1;20;1.8;99.6;0.373;0.159
1;20;1.9;98.9;0.336;0.165
1;20;2;98.3;0.303;0.171
1;20;2.1;97.6;0.275;0.176
1;20;2.2;97;0.251;0.182
1;20;2.3;96.5;0.229;0.187
1;20;2.4;95.9;0.21;0.192
1;20;2.5;95.4;0.193;0.197
1;20;3;93;0.131;0.218
1;20;4;89.4;0.068;0.25
1;20;5;86.6;0.039;0.274
1;20;10;78.3;0.002;0.34
1;30;0;184.8;5;0.01
1;30;0.1;184.2;5;0.01
1;30;0.2;182.4;5;0.01
1;30;0.3;179.5;5;0.01
1;30;0.4;176.2;5;0.017
1;30;0.5;173.1;5;0.029
1;30;0.6;170.3;5;0.042
1;30;0.7;167.7;3.633;0.054
1;30;0.8;165.4;2.703;0.066
1;30;0.9;163.3;2.097;0.078
1;30;1;161.3;1.676;0.088
1;30;1.1;159.5;1.371;0.099
1;30;1.2;157.9;1.142;0.108
1;30;1.3;156.3;0.965;0.117
1;30;1.4;154.9;0.826;0.126
